"session.code","group.id_in_subsession","participant.code","player.hours_stated"
"avxwajsi",13,"j2vw0vqd",30
"avxwajsi",13,"pz174ni0",30
"avxwajsi",14,"vxij2b6m",10
"avxwajsi",14,"rtjey2gj",10
"avxwajsi",15,"1y5n6hu4",40
"avxwajsi",15,"rv0x45cj",40
"avxwajsi",16,"9ovuvywv",60
"avxwajsi",16,"0d0c9285",60
"avxwajsi",17,"sfvs5fv7",30
"avxwajsi",17,"fh6ecwuo",30
"avxwajsi",18,"wr95ks8g",40
"avxwajsi",18,"32wqfqla",40
"avxwajsi",19,"x4tigpj6",60
"avxwajsi",19,"22khtx52",60
"etixhxvh",1,"1f3bxplc",10
"etixhxvh",1,"bd6q3buh",10
"etixhxvh",2,"jqmkzq88",60
"etixhxvh",2,"8exed40z",60
"etixhxvh",3,"xxsd55er",10
"etixhxvh",3,"agsd46d7",10
"etixhxvh",4,"ofdl5t4r",15
"etixhxvh",4,"hr30byp5",15
"etixhxvh",5,"asdpjybd",10
"etixhxvh",5,"e063v9fh",10
"etixhxvh",6,"3qlkpfv8",20
"etixhxvh",6,"88l5c3dy",20
"etixhxvh",7,"cr57i9i7",10
"etixhxvh",7,"gspuwtoo",10
"etixhxvh",8,"7t03letg",NA
"etixhxvh",8,"o5ywccyv",NA
"etixhxvh",9,"a50l88s1",60
"etixhxvh",9,"hj2tuezt",60
"etixhxvh",10,"l5nn3bny",60
"etixhxvh",10,"xm26jghr",60
"etixhxvh",11,"8fd5st4e",20
"etixhxvh",11,"yp9okx4a",20
"etixhxvh",12,"28gpo7oe",20
"etixhxvh",12,"lgs1ezp3",20
"etixhxvh",13,"9q77gb1q",60
"etixhxvh",13,"0ex6zv1a",60
"etixhxvh",14,"hogsozi3",30
"etixhxvh",14,"8v0cot8v",30
"etixhxvh",15,"dsnmb1xb",40
"etixhxvh",15,"cno3jxh7",40
"etixhxvh",16,"xiucstdi",60
"etixhxvh",16,"ylh8x7ga",60
"etixhxvh",17,"dlzfpnbs",10
"etixhxvh",17,"i14x4vet",10
"etixhxvh",18,"1diowvan",10
"etixhxvh",18,"8ilaqh4b",10
"etixhxvh",19,"i1yy51w0",60
"etixhxvh",19,"edr5j9v2",60
"etixhxvh",20,"4wtov6cx",30
"etixhxvh",20,"gwwv4y7p",30
"etixhxvh",21,"nfo2sw1s",30
"etixhxvh",21,"d2zsqd7x",30
"cg6kl97o",1,"5jd7jq4l",60
"cg6kl97o",1,"u1iawdg8",60
"cg6kl97o",2,"fk9wb311",15
"cg6kl97o",2,"37hw1ygg",15
"cg6kl97o",3,"wa9iofc0",60
"cg6kl97o",3,"x8a4ore7",60
"cg6kl97o",4,"06cb62u4",60
"cg6kl97o",4,"9oszy5gm",60
"cg6kl97o",5,"xj50f5rj",10
"cg6kl97o",5,"bytxtcuf",10
"cg6kl97o",6,"b6wrl5dl",30
"cg6kl97o",6,"0hernp3r",30
"cg6kl97o",7,"qfqst3wg",10
"cg6kl97o",7,"yj8vw89a",10
"cg6kl97o",8,"2i6vldme",60
"cg6kl97o",8,"cw1kndkp",60
"cg6kl97o",9,"q0h8sg4c",10
"cg6kl97o",9,"n9ecm11x",10
"cg6kl97o",10,"26rjj01i",60
"cg6kl97o",10,"02cppavy",60
"cg6kl97o",11,"cxs180bt",60
"cg6kl97o",11,"fl7agvhl",60
"cg6kl97o",12,"9qg7zvtq",10
"cg6kl97o",12,"ocd72t7a",10
"cg6kl97o",13,"b4sb3gfg",17
"cg6kl97o",13,"5n2i53ok",17
"cg6kl97o",14,"63wo3mgo",10
"cg6kl97o",14,"60x2ki1d",10
"cg6kl97o",15,"1lmu65wf",10
"cg6kl97o",15,"qs4pqmpv",10
"cg6kl97o",16,"7eycqshz",60
"cg6kl97o",16,"ir7bl3ll",60
"cg6kl97o",17,"r2mpzvzr",60
"cg6kl97o",17,"ro6vsos1",60
"cg6kl97o",18,"mkjmtsw4",30
"cg6kl97o",18,"eemaunaj",30
"cg6kl97o",19,"fdsb4aeu",10
"cg6kl97o",19,"3upn5xqb",10
"cg6kl97o",20,"oo5dkq18",60
"cg6kl97o",20,"6g6d5a7b",60
"cg6kl97o",21,"c0xvd3ml",30
"cg6kl97o",21,"e7q60tg3",30
"cg6kl97o",22,"6mejt8r0",60
"cg6kl97o",22,"yuff5rwb",60
"cg6kl97o",23,"rz31r2yo",20
"cg6kl97o",23,"j760lah8",20
"d671rbzv",1,"minrdgiv",60
"d671rbzv",1,"7ljhgyf5",60
"d671rbzv",2,"lnjut9e7",20
"d671rbzv",2,"80o18905",20
"d671rbzv",3,"2keal9tb",10
"d671rbzv",3,"xypsflvk",10
"d671rbzv",4,"j0vct995",10
"d671rbzv",4,"knx3rpyn",10
"d671rbzv",5,"ke0cw37k",60
"d671rbzv",5,"vhs3e6sz",60
"d671rbzv",6,"vkw0dkpu",10
"d671rbzv",6,"pbfhc88r",10
"d671rbzv",7,"nkrw7vrw",60
"d671rbzv",7,"ar52r0i4",60
"d671rbzv",8,"3uvm24h4",10
"d671rbzv",8,"zw79htcf",10
"d671rbzv",9,"d9igv842",60
"d671rbzv",9,"yuftp90m",60
"d671rbzv",10,"h0kg09wy",10
"d671rbzv",10,"cil2itx1",10
"d671rbzv",11,"1hsj2093",30
"d671rbzv",11,"707ewyzo",30
"d671rbzv",12,"as56ihoi",60
"d671rbzv",12,"xi6jcb7e",60
"d671rbzv",13,"ptzlbex1",20
"d671rbzv",13,"oqraa9wo",20
"d671rbzv",14,"frn8jt81",60
"d671rbzv",14,"o3m7yt4g",60
"d671rbzv",15,"veuxu7aa",30
"d671rbzv",15,"5td18uwy",30
"d671rbzv",16,"iarivh4i",35
"d671rbzv",16,"8eobpr3h",35
"d671rbzv",17,"6hilavco",30
"d671rbzv",17,"62c24f5i",10
"d671rbzv",18,"xmmjeixm",60
"d671rbzv",18,"39tbbn1j",60
"d671rbzv",19,"iwb8qdxv",10
"d671rbzv",19,"60o0ap0o",10
"d671rbzv",20,"wn1t5c13",NA
"d671rbzv",20,"bwkj0e4d",NA
"d671rbzv",21,"byuwwhlp",60
"d671rbzv",21,"vgx73hhy",60
