participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.absent_player,player.control_correct,player.same_hours,player.to_audit_player,player.audited_both,player.hours_stated,player.contr_partner_0,player.contr_prob_0,player.contr_fix_0,player.contr_var_0,player.contr_fine_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_partner,player.contr_prob,player.contr_fix,player.contr_var,player.contr_fine,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.fine,player.lab_points,player.points_euro,player.ctr_euro,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.all_groups,group.audit_groups,group.to_audit,group.absent_group,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,jppcrymp,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.585070+00:00,1,,,8,1,0,1,1,0,,10,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,50,5,1,6,31,1,8,1,2,9,1,1,1,1,7,3,3,3,400,1,4,2,,2,"nicht geändert, war mir aber bewusst",,8,6,10,3,0,0,1,b69m6lyx,,,,,,0
12,ausyzt1x,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.554737+00:00,1,,,7,2,0,0,1,0,,10,2,1,1,1,2,20,20,-10,-10,2,1,1,1,2,60,60,70,50,0,50,5,0,10,25,1,3,1,1,8,2,1,1,1,5,4,2,6,900,1,4,1,"Inwiefern halte ich mich an Absprachen, wenn ich durch nichtbeachtung evtl. profitieren könnte",2,,,7,6,10,3,0,0,1,b69m6lyx,,,,,,0
13,hl4m9t4d,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.725774+00:00,1,,,7,1,0,1,1,1,1,20,2,1,1,1,2,60,60,70,50,,,,,,,,,,10,40,4,1,50,25,2,2,4,2,4,1,1,1,1,1,5,2,5,388,1,5,1,Verhaltn von Arbeitnehmern bei selbstständiger Angabe der Überstunden,2,,,7,7,10,3,1,0,1,b69m6lyx,,,,,,0
14,pb3xsgaz,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.736988+00:00,1,,,6,2,0,0,1,1,1,20,1,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,10,40,4,0,100,25,2,7,1,1,5,1,1,2,1,7,5,6,2,250,1,5,2,,2,,,6,7,10,3,1,0,1,b69m6lyx,,,,,,0
15,ci5xp4ks,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:25.411586+00:00,1,,,5,1,0,0,1,1,1,30,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,20,30,3,0,70,27,2,2,4,2,6,1,1,2,3,7,6,4,5,300,1,4,1,Ehrlichkeit gegenüber dem Arbeitgeber,2,,,5,8,10,3,1,0,1,b69m6lyx,,,,,,0
16,m8ify0si,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:24.836708+00:00,1,,,5,2,0,0,1,1,1,30,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,20,30,3,0,90,26,2,5,2,2,9,5,7,5,6,8,5,6,5,300,2,3,1,Moralisches Verhalten von Mitarbeitern in einem Unternehmen,2,,,5,8,10,3,1,0,1,b69m6lyx,,,,,,0
17,13r24m3g,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:24.099977+00:00,1,,,12.5,1,0,1,1,0,,55,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,95,9.5,1,80,22,2,8,1,2,7,2,2,1,1,7,9,2,2,900,1,4,2,,2,,,12.5,9,10,3,0,0,1,b69m6lyx,,,,,,0
18,h00ooie3,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:25.825122+00:00,1,,,11.5,2,0,0,1,0,,55,2,1,1,1,2,6,-6,6,-6,2,1,1,1,2,0,0,0,0,0,95,9.5,0,40,20,2,3,1,1,10,1,1,1,1,8,7,1,2,600,1,2,1,Lügen zum eigenen Vorteil im Arbeitsalltag,2,,,11.5,9,10,3,0,0,1,b69m6lyx,,,,,,0
19,2fsptkni,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:25.480095+00:00,1,,,13,1,0,1,1,0,,60,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,100,10,1,75,32,2,9,1,2,10,3,3,2,4,2,6,4,2,500,1,5,1,"Wie aufrichtig sind Arbeitnehmer, wenn die Wahrscheinlichkeit hoch ist, nicht erwischt zu werden?",2,,,13,10,10,3,0,0,1,b69m6lyx,,,,,,0
20,tk9ersa4,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:25.030357+00:00,1,,,12,2,0,0,1,0,,60,2,1,1,1,2,20,20,20,10,2,1,1,1,2,60,60,70,50,0,100,10,0,90,25,2,8,1,1,10,1,3,3,5,8,5,1,5,200,1,5,2,,2,,,12,10,10,3,0,0,1,b69m6lyx,,,,,,0
